score_bucket,top_fraction,time_to_depeg_bin,min_hours_ahead,max_hours_ahead,n_valid,n_bucket,n_events_bin,n_bucket_events_bin,base_event_rate,bucket_event_rate,lift
top_1pct,0.01,1-4h,1,4,11373,114,501,93,0.04405170139804801,0.8157894736842105,18.518909549322405
top_1pct,0.01,5-9h,5,9,11373,114,112,2,0.009847885342477799,0.017543859649122806,1.781484962406015
top_1pct,0.01,10-14h,10,14,11373,114,96,3,0.008441044579266685,0.02631578947368421,3.117598684210526
top_1pct,0.01,15-19h,15,19,11373,114,82,0,0.0072100589114569595,0.0,0.0
top_1pct,0.01,20-24h,20,24,11373,114,78,0,0.006858348720654181,0.0,0.0
top_5pct,0.05,1-4h,1,4,11373,570,501,418,0.04405170139804801,0.7333333333333333,16.64710578842315
top_5pct,0.05,5-9h,5,9,11373,570,112,31,0.009847885342477799,0.054385964912280704,5.522603383458646
top_5pct,0.05,10-14h,10,14,11373,570,96,21,0.008441044579266685,0.03684210526315789,4.364638157894736
top_5pct,0.05,15-19h,15,19,11373,570,82,17,0.0072100589114569595,0.02982456140350877,4.136521181001283
top_5pct,0.05,20-24h,20,24,11373,570,78,8,0.006858348720654181,0.014035087719298246,2.04642375168691
top_10pct,0.1,1-4h,1,4,11373,1140,501,470,0.04405170139804801,0.41228070175438597,9.359018804496271
top_10pct,0.1,5-9h,5,9,11373,1140,112,72,0.009847885342477799,0.06315789473684211,6.413345864661654
top_10pct,0.1,10-14h,10,14,11373,1140,96,41,0.008441044579266685,0.035964912280701755,4.260718201754385
top_10pct,0.1,15-19h,15,19,11373,1140,82,32,0.0072100589114569595,0.028070175438596492,3.893196405648267
top_10pct,0.1,20-24h,20,24,11373,1140,78,19,0.006858348720654181,0.016666666666666666,2.4301282051282054
top_20pct,0.2,1-4h,1,4,11373,2280,501,487,0.04405170139804801,0.21359649122807017,4.848768252967749
top_20pct,0.2,5-9h,5,9,11373,2280,112,87,0.009847885342477799,0.038157894736842106,3.8747297932330826
top_20pct,0.2,10-14h,10,14,11373,2280,96,61,0.008441044579266685,0.02675438596491228,3.1695586622807013
top_20pct,0.2,15-19h,15,19,11373,2280,82,46,0.0072100589114569595,0.02017543859649123,2.798234916559692
top_20pct,0.2,20-24h,20,24,11373,2280,78,43,0.006858348720654181,0.018859649122807017,2.7498819163292847
